"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","14","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 45 + 56 = 102",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 71 + 92 = 164",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 5 + 12 = 18",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 22 + 15 = 38",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 21 + 55 = 77",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 82 + 86 = 169",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 27 + 54 = 81",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 24 + 58 = 83",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 72 + 72 = 144",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 7 + 46 = 53",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 85 + 70 = 156",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 80 + 44 = 125",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.HogeTest","","com.example.project.HogeTest","hoge + hoge = hogehoge","hoge + hoge = hogehoge()",""
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 82 + 0 = 82",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 73 + 69 = 143",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","20","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 16 + 15 = 32",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 38 + 84 = 123",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","1 + 1 = 2","1 + 1 = 2()",""
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 32 + 77 = 109",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 60 + 98 = 159",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","5","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 46 + 42 = 89",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","10","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 43 + 70 = 114",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","5","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 85 + 19 = 105",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 32 + 45 = 78",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","6","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 69 + 49 = 119",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 16 + 84 = 100",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 47 + 11 = 59",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","5","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 50 + 71 = 122",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","8","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 13 + 55 = 69",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 52 + 86 = 139",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 67 + 82 = 150",""
